id,name,type
1,Main Entrance,Entrance
2,Emergency Ward,Ward
3,Outpatient Department (OPD),Department
4,Pharmacy,Pharmacy
5,Laboratory,Laboratory
6,Radiology,Department
7,ICU,Ward
8,High Dependency Unit,Ward
9,Operating Theatre A,Theatre
10,Operating Theatre B,Theatre
11,Maternity Ward,Ward
12,Antenatal Clinic,Clinic
13,Labour Ward,Ward
14,Paediatric Ward,Ward
15,Children's Clinic,Clinic
16,Male Medical Ward,Ward
17,Female Medical Ward,Ward
18,Male Surgical Ward,Ward
19,Female Surgical Ward,Ward
20,Orthopaedic Ward,Ward
21,Dental Clinic,Clinic
22,Eye Clinic,Clinic
23,ENT Clinic,Clinic
24,Physiotherapy,Department
25,Dialysis Unit,Department
26,Blood Bank,Laboratory
27,Medical Records,Administration
28,Accounts Office,Administration
29,Administration Block,Administration
30,Security Post,Security
31,Kitchen,Support
32,Laundry,Support
33,Mortuary,Support
34,Ambulance Bay,Transport
35,Biomedical Engineering,Workshop
36,Central Stores,Store
37,Staff Lounge,Support
38,Conference Room,Administration
39,IT Department,Administration
40,Power House,Utility
41,Oxygen Plant,Utility
42,Waste Disposal Unit,Utility
43,Reception,Administration
44,Waiting Area A,Support
45,Waiting Area B,Support
46,Isolation Ward,Ward
47,COVID-19 Unit,Ward
48,Cardiology Clinic,Clinic
49,Neurology Clinic,Clinic
50,Exit Gate,Exit
